Player,Pos'n,Age 7/1/23,Qual    Offer,Old    Club,New Club,Years,Guarantee,Term,Option,Opt Out,AAV,Player Agent,Club Owner,Baseball Ops      head / club GM,Details
"Cueto, Johnny",rhp-s,37.136,,CHA,MIA,,"$8,500,000 ",2023,club,,"$8,500,000",Byrce Dixon,Bruce Sherman,Kim Ng,
"Greinke, Zack",rhp-s,39.253,,KCA,KCA,1,"$8,500,000 ",2023,,,"$8,500,000",Excel,John Sherman,J.J. Picollo,
"Green, Chad",rhp,32.038,,NYA,TOR,2,"$8,500,000 ",2023,,,"$4,250,000",Frontline,Edward Rogers,MShapiro/RAtkins,
"Lorenzen, Michael",rhp-s,31.178,,ANA,DET,1,"$8,500,000 ",2023,,,"$8,500,000",CAA,Chris Ilitch,Scott Harris,
"Frazier, Adam",ss-of,31.199,,SEA,BAL,1,"$8,000,000 ",2023,,,"$8,000,000",Bo McKinnis,John Angelos,Mike Elias,
"Hill, Rich",lhp-s,43.112,,BOS,PIT,1,"$8,000,000 ",2023,,,"$8,000,000",ACES,Bob Nutting,Ben Cherington,
"Profar, Jurickson",lf-2b,30.131,,SDN,COL,1,"$7,750,000 ",2023,,,"$7,750,000",Boras Corp.,Monfort brothers,Bill Schmidt,
"Moore, Matt",lhp-s,34.013,,TEX,ANA,1,"$7,500,000 ",2023,,,"$7,500,000",Apex,Arturo Moreno,Perry Minasian,
"Myers, Wil",rf-1b,32.203,,SDN,CIN,1,"$7,500,000 ",2023,mutual,,"$7,500,000",CAA,Bob Castellini,Nick Krall,
"Duvall, Adam",rf,34.300,,ATL,BOS,1,"$7,000,000 ",2023,,,"$7,000,000",CAA,John Henry,CBloom/BO'Halloran,
"May, Trevor",rhp,33.281,,NYN,OAK,1,"$7,000,000 ",2023,,,"$7,000,000",VC Spts,John Fisher,David Forst,
"Pollock, A.J.",cf,35.209,,CHA,SEA,1,"$7,000,000 ",2023,,,"$7,000,000",Excel,John Stanton,J Dipoto / J Hollander,
"Santana, Carlos",dh-1b,37.084,,SEA,PIT,1,"$6,725,000 ",2023,,,"$6,725,000",Octagon,Bob Nutting,Ben Cherington,
"Barnhart, Tucker",c,32.175,,DET,CHN,2,"$6,500,000 ",2023,,Y,"$3,250,000",Ballengee,Tom Ricketts,JHoyer / CHawkins,
"Peralta, David",lf,35.321,,TBA,LAN,1,"$6,500,000 ",2023,,,"$6,500,000",ACES,Mark Walter,AFriedman / BGomes,
"Chafin, Andrew",lhp,33.014,,DET,ARI,1,"$6,250,000 ",2023,club,,"$6,250,000",Pro Star Mgt,Ken Kendrick,Mike Hazen,
"Pham, Tommy",lf,35.115,,BOS,NYN,1,"$6,000,000 ",2023,,,"$6,000,000",Vayner Spts,Steve Cohen,Billy Eppler,
"Zunino, Mike",c,32.098,,TBA,CLE,1,"$6,000,000 ",2023,,,"$6,000,000",Wasserman,Paul Dolan,Antonetti/Chernoff,
"Davies, Zach",rhp-s,29.144,,ARI,ARI,1,"$5,000,000 ",2023,,,"$5,000,000",Boras Corp.,Ken Kendrick,Mike Hazen,
"Givens, Mychal",rhp,33.049,,NYN,BAL,1,"$5,000,000 ",2023,,,"$5,000,000",Excel,John Angelos,Mike Elias,
"Hedges, Austin",c,30.317,,CLE,PIT,1,"$5,000,000 ",2023,,,"$5,000,000",Boras Corp.,Bob Nutting,Ben Cherington,
"Johnson, Pierce",rhp,32.052,,SDN,COL,1,"$5,000,000 ",2023,,,"$5,000,000",Boggs & Assoc.,Monfort brothers,Bill Schmidt,
"McCutchen, Andrew",lf,36.264,,MIL,PIT,1,"$5,000,000 ",2023,,,"$5,000,000",Aegis Spts,Bob Nutting,Ben Cherington,
"Miley, Wade",lhp-s,36.230,,CHN,MIL,1,"$4,500,000 ",2023,mutual,,"$4,500,000",O'Connell Spts,Mark Attanasio,Matt Arnold,
